filepath,tags
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230328-MWDolomites_ROW9549275755_UHD.jpg,".thumbs,20230328,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,mwdolomites,row9549275755,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230330-PeacockFeathers_ROW9614910018_UHD.jpg,".thumbs,20230330,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,peacockfeathers,row9614910018,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230331-SteyrRiver_ROW9684158265_UHD.jpg,".thumbs,20230331,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,row9684158265,steyrriver,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230401-FrogMonth_ROW9751182121_UHD.jpg,".thumbs,20230401,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,frogmonth,row9751182121,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230402-JavaBromo_ROW4373967906_UHD.jpg,".thumbs,20230402,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,javabromo,row4373967906,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230403-HonaunauNP_ROW5786762045_UHD.jpg,".thumbs,20230403,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,honaunaunp,row5786762045,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230404-RomanBridge_ROW7839688997_UHD.jpg,".thumbs,20230404,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,romanbridge,row7839688997,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230405-BlackGrouseLekking_ROW7639439076_UHD.jpg,".thumbs,20230405,bingwallpaper,blackgrouselekking,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,row7639439076,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230406-ArizonaPinkMoon_ROW6123452176_UHD.jpg,".thumbs,20230406,arizonapinkmoon,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,row6123452176,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/.thumbs/20230407-KitsAspen_ROW6572224525_UHD.jpg,".thumbs,20230407,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,downloaded via net/bingwallpaper/.thumbs,kitsaspen,row6572224525,uhd"
